переместить move
загрузка loading
руина ruin
скрытый hidden
строительство construction
бизнес business
ежедневные daily
социальные social
друг friend
подарок gift
каска hardhat
предмет item
открыть open
путешествие journey
ключ key
уровень level
медаль medal
легенда legend
задача task
новичок novice
мастер master
любитель amateur
нло ufo
наоми naomi
новости news
настройки preferences
профиль profile
комбо combo
оружие weapon
тайлер tyler
оценить rate
роскошь luxury
богатство wealth
курорт resort
икс-кристалл x-crystal
коралл coral
топливо fuel
жемчужина pearl
флаер flyer
мегафон megaphone
фишки caps
шаман shaman
птеродактиль pterodactyl
сервис service
элитный elite
эксклюзив exclusive
привлекательность attractiveness
пасха easter
цвет color
эмблема emblem
рамка frame
исходящие outbox
чертеж blueprint
бонус bonus
глава chapter
улучшить upgrade
дневник journal
баланс balance
легко easy
трудно hard
щедрость generosity
удача luck
рейтинг ranking
магазин shop
сложность difficulty
наногенератор nanogenerator
хижина cabin
бунгало bungalow
цирк circus
ветряк windmill
пирс pier
дельфинарий dolphinarium
генератор generator
аллея alley
вилла villa
сундук chest
буй beacon
голубки lovebirds
амфитеатр amphitheater
планетарий planetarium
обсерватория observatory
соревнование competition
результат score
склад warehouse
прибыль profit
новичок novice
мастер master
любитель amateur
задание quest
ресурс resource
динамит dynamite
фейерверк firework
собрать collect
построить build
отель hotel
дом house
дорин dorin
лиана vine
радуга rainbow
награда	reward
противники opponent
игрок player
цветок flower
перо feather
шестеренка gear
благовония incense
роза rose
что what
для for
как how
как as
как like
был was
его his
его him
также also
это this
это it
это that
или or
после after
области areas
год year
было was
время time
состав composition
была was
так so
место spot
место place
место location
были were
вид view
под under
если if
только only
только just
есть got
мая may
дата date
ноября november
деревня village
где where
января january
марта marta
марта martha
марта march
все everything
все all
все everyone
августа august
августа augusta
том tom
октября october
октября oct
сентября september
статьи articles
уже already
июня june
апреля april
сша usa
который which
название name
название title
поселение settlement
человек person
человек human
человек man
смерти deaths
лет years
февраля february
февраля feb
они they
того togo
города city
города towns
города cities
может maybe
может could
может can
она she
война war
можно can
когда when
однако however
которые which
высота altitude
высота height
нет no
переписи census
переписи censuses
село selo
село village
быть be
стал became
статья article
один alone
один one
без without
река river
между between
статус status
население population
годы years
через via
через through
национальный national
область province
область region
официальный official
часть part
против against
этот this
будет will
несколько several
несколько multiple
несколько somewhat
город town
первый first
чем than
часть part
описание description
всего total
первый first
среди among
файл file
карта card
карта map
два two
всех all
всех everyone
раз once
там there
территория territory
второй second
очень very
глава chapter
карта map
карта card
хотя although
хотя though
кроме except
союз union
кто who
день day
именно exactly
период period
просто just
регион region
тогда then
конец end
персонал staff
территория area
сердце heart
